LINF_000005000	coding	Protein of unknown function (DUF2946), putative	LinJ01_20070420_V3	4074	5075	-
LINF_000005100	coding	hypothetical protein, conserved	LinJ01_20070420_V3	6168	7802	-
LINF_000005200	coding	Kinesin-13 1, putative	LinJ01_20070420_V3	9405	11426	-
LINF_000005300:pseudogene	pseudogene	hypothetical protein, conserved	LinJ01_20070420_V3	12399	12968	-
LINF_000005400	coding	carboxylase, putative	LinJ01_20070420_V3	15326	17323	-
LINF_000005500	coding	hypothetical protein, conserved	LinJ01_20070420_V3	18479	19228	-
LINF_000005600	coding	BSD domain containing protein, putative	LinJ01_20070420_V3	20322	22061	-
LINF_000005700	coding	hypothetical protein, conserved	LinJ01_20070420_V3	22901	23614	-
LINF_000005800	coding	UMP-CMP kinase, mitochondrial, putative	LinJ01_20070420_V3	25171	25989	-
LINF_000005900	coding	Glycosyl transferase family 11, putative	LinJ01_20070420_V3	26685	27641	-
LINF_000006000	coding	monothiol glutaredoxin, putative	LinJ01_20070420_V3	28741	29328	-
LINF_000006100	coding	hypothetical protein, conserved	LinJ01_20070420_V3	30532	32505	-
LINF_000006200	coding	hypothetical protein, conserved	LinJ01_20070420_V3	33795	34889	-
LINF_000006300	coding	hypothetical protein, conserved	LinJ01_20070420_V3	37191	37439	-
LINF_000006400	coding	hypothetical protein, conserved	LinJ01_20070420_V3	38179	38529	-
LINF_000006500	coding	LSM domain containing protein, putative	LinJ01_20070420_V3	39394	39636	-
LINF_000006600	coding	hypothetical protein, conserved	LinJ01_20070420_V3	41763	43136	-
LINF_000006700	coding	CLC-type chloride channel, putative	LinJ01_20070420_V3	44559	46871	-
LINF_000006800	coding	hypothetical protein, conserved	LinJ01_20070420_V3	48308	48931	-
LINF_000006900	coding	Low molecular weight phosphotyrosine protein phosphatase, putative	LinJ01_20070420_V3	49619	50530	-
LINF_000007000	coding	CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein, putative	LinJ01_20070420_V3	51391	54087	-
LINF_000007100	coding	cyclophilin 12, putative	LinJ01_20070420_V3	57723	58727	-
LINF_000007200	coding	hypothetical protein, conserved	LinJ01_20070420_V3	61946	62362	-
LINF_000007300:pseudogene	pseudogene	DNA excision/repair protein SNF2, putative	LinJ01_20070420_V3	63116	65881	-
